Paper Number,NBER URL,Journal URL,Similarity Ratio or Error,Number of Authors,Number of Female Authors,Number of Male Authors,Number of Unknown Gender Authors
20500,https://econpapers.repec.org/paper/nbrnberwo/20500.htm,https://econpapers.repec.org/article/tprrestat/v_3a100_3ay_3a2018_3ai_3a2_3ap_3a319-336.htm,0.015541525012141816,2,0,2,0
20501,https://econpapers.repec.org/paper/nbrnberwo/20501.htm,https://econpapers.repec.org/article/oupecpoli/v_3a31_3ay_3a2016_3ai_3a85_3ap_3a107-152..htm,0.9890282131661442,3,0,3,0
20502,https://econpapers.repec.org/paper/nbrnberwo/20502.htm,https://econpapers.repec.org/article/wlyemetrp/v_3a86_3ay_3a2018_3ai_3a1_3ap_3a37-83.htm,0.2671875,2,1,1,0
20503,https://econpapers.repec.org/paper/nbrnberwo/20503.htm,,Related journal article link not found,2,1,1,0
20504,https://econpapers.repec.org/paper/nbrnberwo/20504.htm,https://econpapers.repec.org/article/blaeconom/v_3a86_3ay_3a2019_3ai_3a341_3ap_3a32-66.htm,0.6220588235294118,3,1,2,0
20505,https://econpapers.repec.org/paper/nbrnberwo/20505.htm,https://econpapers.repec.org/article/ucpipolec/doi_3a10.1086_2f680059.htm,0.566083773891826,4,0,4,0
20506,https://econpapers.repec.org/paper/nbrnberwo/20506.htm,https://econpapers.repec.org/article/ucpjpolec/doi_3a10.1086_2f698750.htm,0.3842682140554481,3,0,3,0
20507,https://econpapers.repec.org/paper/nbrnberwo/20507.htm,,Related journal article link not found,1,0,1,0
20508,https://econpapers.repec.org/paper/nbrnberwo/20508.htm,,Related journal article link not found,2,2,0,0
20509,https://econpapers.repec.org/paper/nbrnberwo/20509.htm,,Related journal article link not found,2,0,2,0
20510,https://econpapers.repec.org/paper/nbrnberwo/20510.htm,https://econpapers.repec.org/article/aeaaecrev/v_3a108_3ay_3a2018_3ai_3a6_3ap_3a1543-81.htm,0.185378590078329,3,1,2,0
20511,https://econpapers.repec.org/paper/nbrnberwo/20511.htm,,Related journal article link not found,2,0,2,0
20512,https://econpapers.repec.org/paper/nbrnberwo/20512.htm,,Related journal article link not found,2,0,2,0
20513,https://econpapers.repec.org/paper/nbrnberwo/20513.htm,,Related journal article link not found,2,0,2,0
20514,https://econpapers.repec.org/paper/nbrnberwo/20514.htm,https://econpapers.repec.org/article/tafecinnt/v_3a26_3ay_3a2017_3ai_3a1-2_3ap_3a42-62.htm,0.3923404255319149,2,0,2,0
20515,https://econpapers.repec.org/paper/nbrnberwo/20515.htm,https://econpapers.repec.org/article/tpramjhec/v_3a2_3ay_3a2016_3ai_3a1_3ap_3a66-95.htm,0.4466313398940197,3,1,2,0
20516,https://econpapers.repec.org/paper/nbrnberwo/20516.htm,https://econpapers.repec.org/article/wlyemetrp/v_3a86_3ay_3a2018_3ai_3a4_3ap_3a1119-1157.htm,0.5054080629301868,3,1,2,0
20517,https://econpapers.repec.org/paper/nbrnberwo/20517.htm,,Related journal article link not found,1,0,1,0
20518,https://econpapers.repec.org/paper/nbrnberwo/20518.htm,https://econpapers.repec.org/article/eeejimfin/v_3a49_3ay_3a2014_3ai_3apa_3ap_3a83-103.htm,0.9991356957649092,3,0,3,0
20519,https://econpapers.repec.org/paper/nbrnberwo/20519.htm,,Related journal article link not found,2,0,2,0
20520,https://econpapers.repec.org/paper/nbrnberwo/20520.htm,https://econpapers.repec.org/article/aeaaecrev/v_3a105_3ay_3a2015_3ai_3a3_3ap_3a1272-1311.htm,0.978601997146933,2,0,2,0
20521,https://econpapers.repec.org/paper/nbrnberwo/20521.htm,https://econpapers.repec.org/article/ucpipolec/doi_3a10.1086_2f680062.htm,0.2366173713809623,1,0,1,0
20522,https://econpapers.repec.org/paper/nbrnberwo/20522.htm,,Related journal article link not found,3,0,3,0
20523,https://econpapers.repec.org/paper/nbrnberwo/20523.htm,https://econpapers.repec.org/article/blarandje/v_3a50_3ay_3a2019_3ai_3a1_3ap_3a93-120.htm,0.04927782497875956,3,2,1,0
20524,https://econpapers.repec.org/paper/nbrnberwo/20524.htm,,Related journal article link not found,2,0,2,0
20525,https://econpapers.repec.org/paper/nbrnberwo/20525.htm,,Related journal article link not found,3,1,2,0
20526,https://econpapers.repec.org/paper/nbrnberwo/20526.htm,https://econpapers.repec.org/article/ouprestud/v_3a87_3ay_3a2020_3ai_3a3_3ap_3a1174-1212..htm,0.08702469619756958,2,0,2,0
20527,https://econpapers.repec.org/paper/nbrnberwo/20527.htm,https://econpapers.repec.org/article/wlyjmoncb/v_3a49_3ay_3a2017_3ai_3a4_3ap_3a635-661.htm,0.4921540656205421,3,0,3,0
20528,https://econpapers.repec.org/paper/nbrnberwo/20528.htm,https://econpapers.repec.org/article/aeaaecrev/v_3a106_3ay_3a2016_3ai_3a3_3ap_3a778-806.htm,0.6476923076923077,5,1,4,0
20529,https://econpapers.repec.org/paper/nbrnberwo/20529.htm,https://econpapers.repec.org/article/eeereecon/v_3a69_3ay_3a2015_3ai_3a1_3ap_3a63-74.htm,1.0,1,0,1,0
20530,https://econpapers.repec.org/paper/nbrnberwo/20530.htm,https://econpapers.repec.org/article/wlyeconjl/v_3a_3ay_3a2015_3ai_3a583_3ap_3a235-268.htm,Journal abstract not found,1,0,1,0
20531,https://econpapers.repec.org/paper/nbrnberwo/20531.htm,https://econpapers.repec.org/article/ucpjlabec/doi_3a10.1086_2f682938.htm,0.06572341396622547,3,1,2,0
20532,https://econpapers.repec.org/paper/nbrnberwo/20532.htm,https://econpapers.repec.org/article/eeerespol/v_3a51_3ay_3a2022_3ai_3a10_3as0048733322001184.htm,0.9990917347865577,3,0,3,0
20533,https://econpapers.repec.org/paper/nbrnberwo/20533.htm,https://econpapers.repec.org/article/eeejimfin/v_3a52_3ay_3a2015_3ai_3ac_3ap_3a15-31.htm,0.9976580796252927,3,1,2,0
20534,https://econpapers.repec.org/paper/nbrnberwo/20534.htm,,Related journal article link not found,3,1,2,0
20535,https://econpapers.repec.org/paper/nbrnberwo/20535.htm,,Related journal article link not found,2,1,1,0
20536,https://econpapers.repec.org/paper/nbrnberwo/20536.htm,,Related journal article link not found,2,0,2,0
20537,https://econpapers.repec.org/paper/nbrnberwo/20537.htm,,Related journal article link not found,3,1,2,0
20538,https://econpapers.repec.org/paper/nbrnberwo/20538.htm,,Related journal article link not found,3,0,3,0
20539,https://econpapers.repec.org/paper/nbrnberwo/20539.htm,,Related journal article link not found,3,1,2,0
20540,https://econpapers.repec.org/paper/nbrnberwo/20540.htm,https://econpapers.repec.org/article/eeejfinec/v_3a142_3ay_3a2021_3ai_3a2_3ap_3a775-802.htm,0.09034267912772585,2,1,1,0
20541,https://econpapers.repec.org/paper/nbrnberwo/20541.htm,,Related journal article link not found,2,0,2,0
20542,https://econpapers.repec.org/paper/nbrnberwo/20542.htm,,Related journal article link not found,3,0,3,0
20543,https://econpapers.repec.org/paper/nbrnberwo/20543.htm,,Related journal article link not found,4,1,3,0
20544,https://econpapers.repec.org/paper/nbrnberwo/20544.htm,,Related journal article link not found,2,1,1,0
20545,https://econpapers.repec.org/paper/nbrnberwo/20545.htm,,Related journal article link not found,1,0,1,0
20546,https://econpapers.repec.org/paper/nbrnberwo/20546.htm,,Related journal article link not found,3,0,3,0
20547,https://econpapers.repec.org/paper/nbrnberwo/20547.htm,,Related journal article link not found,3,1,2,0
20548,https://econpapers.repec.org/paper/nbrnberwo/20548.htm,https://econpapers.repec.org/article/aeaaecrev/v_3a106_3ay_3a2016_3ai_3a1_3ap_3a99-135.htm,0.8044077134986226,3,0,3,0
20549,https://econpapers.repec.org/paper/nbrnberwo/20549.htm,,Related journal article link not found,1,0,1,0
20550,https://econpapers.repec.org/paper/nbrnberwo/20550.htm,https://econpapers.repec.org/article/eeeecolet/v_3a135_3ay_3a2015_3ai_3ac_3ap_3a108-111.htm,0.022894521668029435,3,0,3,0
20551,https://econpapers.repec.org/paper/nbrnberwo/20551.htm,,Related journal article link not found,2,0,2,0
20552,https://econpapers.repec.org/paper/nbrnberwo/20552.htm,,Related journal article link not found,3,0,3,0
20553,https://econpapers.repec.org/paper/nbrnberwo/20553.htm,https://econpapers.repec.org/article/eeejhecon/v_3a44_3ay_3a2015_3ai_3ac_3ap_3a309-319.htm,1.0,4,1,3,0
20554,https://econpapers.repec.org/paper/nbrnberwo/20554.htm,,Related journal article link not found,3,1,2,0
20555,https://econpapers.repec.org/paper/nbrnberwo/20555.htm,https://econpapers.repec.org/article/aeaaecrev/v_3a108_3ay_3a2018_3ai_3a4-5_3ap_3a1118-46.htm,0.12597547380156077,3,1,2,0
20556,https://econpapers.repec.org/paper/nbrnberwo/20556.htm,https://econpapers.repec.org/article/aeaaejmac/v_3a12_3ay_3a2020_3ai_3a2_3ap_3a310-50.htm,0.028846153846153848,3,1,2,0
20557,https://econpapers.repec.org/paper/nbrnberwo/20557.htm,,Related journal article link not found,2,0,2,0
20558,https://econpapers.repec.org/paper/nbrnberwo/20558.htm,https://econpapers.repec.org/article/ucpjpolec/doi_3a10.1086_2f693137.htm,0.9904240766073872,1,0,1,0
20559,https://econpapers.repec.org/paper/nbrnberwo/20559.htm,,Related journal article link not found,1,0,1,0
20560,https://econpapers.repec.org/paper/nbrnberwo/20560.htm,,Related journal article link not found,3,1,2,0
20561,https://econpapers.repec.org/paper/nbrnberwo/20561.htm,,Related journal article link not found,4,0,4,0
20562,https://econpapers.repec.org/paper/nbrnberwo/20562.htm,https://econpapers.repec.org/bookchap/nbrnberch/12559.htm,Journal abstract not found,2,1,1,0
20563,https://econpapers.repec.org/paper/nbrnberwo/20563.htm,https://econpapers.repec.org/article/piareview/v_3a7_3ay_3a2016_3ai_3a2_3an_3a1.htm,1.0,3,0,3,0
20564,https://econpapers.repec.org/paper/nbrnberwo/20564.htm,https://econpapers.repec.org/article/gamjscscx/v_3a4_3ay_3a2015_3ai_3a2_3ap_3a373-392_3ad_3a49770.htm,0.9812606473594548,2,1,1,0
20565,https://econpapers.repec.org/paper/nbrnberwo/20565.htm,,Related journal article link not found,3,0,3,0
20566,https://econpapers.repec.org/paper/nbrnberwo/20566.htm,https://econpapers.repec.org/article/tprrestat/v_3a100_3ay_3a2018_3ai_3a1_3ap_3a187-202.htm,0.24108878807517822,2,0,2,0
20567,https://econpapers.repec.org/paper/nbrnberwo/20567.htm,,Related journal article link not found,2,0,2,0
20568,https://econpapers.repec.org/paper/nbrnberwo/20568.htm,https://econpapers.repec.org/article/aeaaecrev/v_3a108_3ay_3a2018_3ai_3a9_3ap_3a2714-57.htm,0.20699925539836186,3,0,3,0
20569,https://econpapers.repec.org/paper/nbrnberwo/20569.htm,https://econpapers.repec.org/article/aeaaejmac/v_3a10_3ay_3a2018_3ai_3a2_3ap_3a113-53.htm,0.10983397190293742,3,0,3,0
20570,https://econpapers.repec.org/paper/nbrnberwo/20570.htm,https://econpapers.repec.org/article/blaecopol/v_3a29_3ay_3a2017_3ai_3a2_3ap_3a157-177.htm,Journal abstract not found,2,0,2,0
20571,https://econpapers.repec.org/paper/nbrnberwo/20571.htm,https://econpapers.repec.org/article/oupecpoli/v_3a30_3ay_3a2015_3ai_3a84_3ap_3a729-766..htm,0.8698884758364313,4,1,3,0
20572,https://econpapers.repec.org/paper/nbrnberwo/20572.htm,https://econpapers.repec.org/article/aeaaecrev/v_3a107_3ay_3a2017_3ai_3a7_3ap_3a1904-37.htm,0.42097488921713444,2,1,1,0
20573,https://econpapers.repec.org/paper/nbrnberwo/20573.htm,https://econpapers.repec.org/article/fipfedfpr/00007.htm,0.027338515143393194,2,1,1,0
20574,https://econpapers.repec.org/paper/nbrnberwo/20574.htm,,Related journal article link not found,2,1,1,0
20575,https://econpapers.repec.org/paper/nbrnberwo/20575.htm,https://econpapers.repec.org/article/eeeeconom/v_3a192_3ay_3a2016_3ai_3a2_3ap_3a391-405.htm,0.7213114754098361,3,1,2,0
20576,https://econpapers.repec.org/paper/nbrnberwo/20576.htm,,Related journal article link not found,3,0,3,0
