Paper Number,NBER URL,Journal URL,Similarity Ratio or Error,Number of Authors,Number of Female Authors,Number of Male Authors,Number of Unknown Gender Authors
21201,https://econpapers.repec.org/paper/nbrnberwo/21201.htm,https://econpapers.repec.org/article/ouprestud/v_3a84_3ay_3a2017_3ai_3a4_3ap_3a1683-1707..htm,0.9927710843373494,3,1,2,0
21202,https://econpapers.repec.org/paper/nbrnberwo/21202.htm,https://econpapers.repec.org/article/wlyemetrp/v_3a87_3ay_3a2019_3ai_3a2_3ap_3a463-496.htm,0.835820895522388,2,0,2,0
21203,https://econpapers.repec.org/paper/nbrnberwo/21203.htm,,Related journal article link not found,2,0,2,0
21204,https://econpapers.repec.org/paper/nbrnberwo/21204.htm,,Related journal article link not found,3,3,0,0
21205,https://econpapers.repec.org/paper/nbrnberwo/21205.htm,https://econpapers.repec.org/article/eeepubeco/v_3a145_3ay_3a2017_3ai_3ac_3ap_3a243-252.htm,0.03047232097511427,3,0,3,0
21206,https://econpapers.repec.org/paper/nbrnberwo/21206.htm,,Related journal article link not found,2,0,2,0
21207,https://econpapers.repec.org/paper/nbrnberwo/21207.htm,https://econpapers.repec.org/article/ucpjpolec/doi_3a10.1086_2f694291.htm,0.11712158808933003,1,0,1,0
21208,https://econpapers.repec.org/paper/nbrnberwo/21208.htm,,Related journal article link not found,2,2,0,0
21209,https://econpapers.repec.org/paper/nbrnberwo/21209.htm,,Related journal article link not found,3,1,2,0
21210,https://econpapers.repec.org/paper/nbrnberwo/21210.htm,,Related journal article link not found,4,2,2,0
21211,https://econpapers.repec.org/paper/nbrnberwo/21211.htm,,Related journal article link not found,2,0,2,0
21212,https://econpapers.repec.org/paper/nbrnberwo/21212.htm,https://econpapers.repec.org/article/eeeinecon/v_3a97_3ay_3a2015_3ai_3a1_3ap_3a76-85.htm,0.9273182957393483,1,0,1,0
21213,https://econpapers.repec.org/paper/nbrnberwo/21213.htm,,Related journal article link not found,3,0,3,0
21214,https://econpapers.repec.org/paper/nbrnberwo/21214.htm,https://econpapers.repec.org/article/eeejfinec/v_3a124_3ay_3a2017_3ai_3a2_3ap_3a349-372.htm,0.2417721518987342,2,0,2,0
21215,https://econpapers.repec.org/paper/nbrnberwo/21215.htm,,Related journal article link not found,2,1,1,0
21216,https://econpapers.repec.org/paper/nbrnberwo/21216.htm,,Related journal article link not found,1,0,1,0
21217,https://econpapers.repec.org/paper/nbrnberwo/21217.htm,,Related journal article link not found,1,0,1,0
21218,https://econpapers.repec.org/paper/nbrnberwo/21218.htm,,Related journal article link not found,3,0,3,0
21219,https://econpapers.repec.org/paper/nbrnberwo/21219.htm,,Related journal article link not found,3,2,1,0
21220,https://econpapers.repec.org/paper/nbrnberwo/21220.htm,,Related journal article link not found,3,0,3,0
21221,https://econpapers.repec.org/paper/nbrnberwo/21221.htm,,Related journal article link not found,1,0,1,0
21222,https://econpapers.repec.org/paper/nbrnberwo/21222.htm,https://econpapers.repec.org/article/ucpjpolec/doi_3a10.1086_2f704756.htm,0.7439945092656143,2,1,1,0
21223,https://econpapers.repec.org/paper/nbrnberwo/21223.htm,,Related journal article link not found,3,0,3,0
21224,https://econpapers.repec.org/paper/nbrnberwo/21224.htm,https://econpapers.repec.org/article/blajfinan/v_3a74_3ay_3a2019_3ai_3a1_3ap_3a371-399.htm,0.07172743574417215,3,1,2,0
21225,https://econpapers.repec.org/paper/nbrnberwo/21225.htm,https://econpapers.repec.org/article/eeeinecon/v_3a117_3ay_3a2019_3ai_3ac_3ap_3a229-241.htm,0.03716940671908506,3,0,3,0
21226,https://econpapers.repec.org/paper/nbrnberwo/21226.htm,,Related journal article link not found,1,0,1,0
21227,https://econpapers.repec.org/paper/nbrnberwo/21227.htm,,Related journal article link not found,3,0,3,0
21228,https://econpapers.repec.org/paper/nbrnberwo/21228.htm,,Related journal article link not found,2,1,1,0
21229,https://econpapers.repec.org/paper/nbrnberwo/21229.htm,,Related journal article link not found,2,1,1,0
21230,https://econpapers.repec.org/paper/nbrnberwo/21230.htm,https://econpapers.repec.org/article/aeaaejapp/v_3a9_3ay_3a2017_3ai_3a3_3ap_3a223-61.htm,0.019230769230769232,4,0,4,0
21231,https://econpapers.repec.org/paper/nbrnberwo/21231.htm,https://econpapers.repec.org/article/eeepubeco/v_3a131_3ay_3a2015_3ai_3ac_3ap_3a58-70.htm,0.5026929982046678,3,0,3,0
21232,https://econpapers.repec.org/paper/nbrnberwo/21232.htm,https://econpapers.repec.org/article/ucpjpolec/doi_3a10.1086_2f691702.htm,0.6471277842907386,3,0,3,0
21233,https://econpapers.repec.org/paper/nbrnberwo/21233.htm,,Related journal article link not found,2,1,1,0
21234,https://econpapers.repec.org/paper/nbrnberwo/21234.htm,https://econpapers.repec.org/article/eeejfinec/v_3a124_3ay_3a2017_3ai_3a1_3ap_3a1-21.htm,0.6987951807228916,2,0,2,0
21235,https://econpapers.repec.org/paper/nbrnberwo/21235.htm,,Related journal article link not found,3,1,2,0
21236,https://econpapers.repec.org/paper/nbrnberwo/21236.htm,,Related journal article link not found,4,1,3,0
21237,https://econpapers.repec.org/paper/nbrnberwo/21237.htm,,Related journal article link not found,3,1,2,0
21238,https://econpapers.repec.org/paper/nbrnberwo/21238.htm,https://econpapers.repec.org/article/redissued/14-173.htm,0.7288817377312953,2,1,1,0
21239,https://econpapers.repec.org/paper/nbrnberwo/21239.htm,https://econpapers.repec.org/article/kapijhcfe/v_3a15_3ay_3a2015_3ai_3a3_3ap_3a339-359.htm,0.4962025316455696,1,0,1,0
21240,https://econpapers.repec.org/paper/nbrnberwo/21240.htm,https://econpapers.repec.org/article/eeeecolet/v_3a159_3ay_3a2017_3ai_3ac_3ap_3a57-60.htm,0.08297320656871218,3,0,3,0
